DATE,SDPOP
2007-01-01,791.623
2008-01-01,799.124
2009-01-01,807.067
2010-01-01,816.227
2011-01-01,823.338
2012-01-01,832.576
2013-01-01,842.513
2014-01-01,849.455
2015-01-01,854.036
2016-01-01,861.542
2017-01-01,869.666
