DATE,COPOP
2007-01-01,4803.868
2008-01-01,4889.730
2009-01-01,4972.195
2010-01-01,5048.029
2011-01-01,5116.411
2012-01-01,5186.330
2013-01-01,5262.556
2014-01-01,5342.311
2015-01-01,5440.445
2016-01-01,5530.105
2017-01-01,5607.154
