DATE,MIPOP
2007-01-01,10001.284
2008-01-01,9946.889
2009-01-01,9901.591
2010-01-01,9876.731
2011-01-01,9876.199
2012-01-01,9886.610
2013-01-01,9899.219
2014-01-01,9914.675
2015-01-01,9918.170
2016-01-01,9933.445
2017-01-01,9962.311
