DATE,NEPOP
2007-01-01,1783.440
2008-01-01,1796.378
2009-01-01,1812.683
2010-01-01,1829.956
2011-01-01,1841.641
2012-01-01,1854.862
2013-01-01,1867.414
2014-01-01,1880.920
2015-01-01,1893.564
2016-01-01,1907.603
2017-01-01,1920.076
