DATE,MEPOP
2007-01-01,1327.040
2008-01-01,1330.509
2009-01-01,1329.590
2010-01-01,1327.568
2011-01-01,1327.968
2012-01-01,1328.101
2013-01-01,1327.975
2014-01-01,1328.903
2015-01-01,1327.787
2016-01-01,1330.232
2017-01-01,1335.907
