DATE,MAPOP
2007-01-01,6431.559
2008-01-01,6468.967
2009-01-01,6517.613
2010-01-01,6564.943
2011-01-01,6612.178
2012-01-01,6659.627
2013-01-01,6711.138
2014-01-01,6757.925
2015-01-01,6794.002
2016-01-01,6823.721
2017-01-01,6859.819
