DATE,OKPOP
2007-01-01,3634.349
2008-01-01,3668.976
2009-01-01,3717.572
2010-01-01,3759.529
2011-01-01,3785.232
2012-01-01,3815.298
2013-01-01,3849.840
2014-01-01,3875.008
2015-01-01,3904.353
2016-01-01,3921.207
2017-01-01,3930.864
