DATE,MNPOP
2007-01-01,5207.203
2008-01-01,5247.018
2009-01-01,5281.203
2010-01-01,5310.711
2011-01-01,5345.967
2012-01-01,5377.695
2013-01-01,5416.074
2014-01-01,5452.649
2015-01-01,5483.238
2016-01-01,5525.050
2017-01-01,5576.606
