DATE,CTPOP
2007-01-01,3527.270
2008-01-01,3545.579
2009-01-01,3561.807
2010-01-01,3580.171
2011-01-01,3591.927
2012-01-01,3597.705
2013-01-01,3602.470
2014-01-01,3600.188
2015-01-01,3593.862
2016-01-01,3587.685
2017-01-01,3588.184
