DATE,NJPOP
2007-01-01,8677.885
2008-01-01,8711.090
2009-01-01,8755.602
2010-01-01,8803.708
2011-01-01,8844.694
2012-01-01,8882.095
2013-01-01,8913.735
2014-01-01,8943.010
2015-01-01,8960.001
2016-01-01,8978.416
2017-01-01,9005.644
