DATE,MSPOP
2007-01-01,2928.350
2008-01-01,2947.806
2009-01-01,2958.774
2010-01-01,2970.437
2011-01-01,2977.452
2012-01-01,2982.963
2013-01-01,2987.721
2014-01-01,2988.578
2015-01-01,2985.297
2016-01-01,2985.415
2017-01-01,2984.100
