DATE,WYPOP
2007-01-01,534.876
2008-01-01,546.043
2009-01-01,559.851
2010-01-01,564.376
2011-01-01,567.602
2012-01-01,576.608
2013-01-01,582.341
2014-01-01,583.334
2015-01-01,586.102
2016-01-01,584.910
2017-01-01,579.315
