DATE,MOPOP
2007-01-01,5887.612
2008-01-01,5923.916
2009-01-01,5961.088
2010-01-01,5995.681
2011-01-01,6010.280
2012-01-01,6023.267
2013-01-01,6041.142
2014-01-01,6058.014
2015-01-01,6072.640
2016-01-01,6091.176
2017-01-01,6113.532
