DATE,DEPOP
2007-01-01,871.749
2008-01-01,883.874
2009-01-01,891.730
2010-01-01,899.712
2011-01-01,907.884
2012-01-01,916.868
2013-01-01,925.114
2014-01-01,934.805
2015-01-01,944.107
2016-01-01,952.698
2017-01-01,961.939
