DATE,AKPOP
2007-01-01,680.300
2008-01-01,687.455
2009-01-01,698.895
2010-01-01,714.015
2011-01-01,722.259
2012-01-01,730.825
2013-01-01,736.760
2014-01-01,736.759
2015-01-01,737.979
2016-01-01,741.522
2017-01-01,739.795
