DATE,NYPOP
2007-01-01,19132.335
2008-01-01,19212.436
2009-01-01,19307.066
2010-01-01,19405.185
2011-01-01,19526.372
2012-01-01,19625.409
2013-01-01,19712.514
2014-01-01,19773.580
2015-01-01,19819.347
2016-01-01,19836.286
2017-01-01,19849.399
