DATE,FLPOP
2007-01-01,18367.842
2008-01-01,18527.305
2009-01-01,18652.644
2010-01-01,18846.461
2011-01-01,19097.369
2012-01-01,19341.327
2013-01-01,19584.927
2014-01-01,19897.747
2015-01-01,20268.567
2016-01-01,20656.589
2017-01-01,20984.400
