DATE,GAPOP
2007-01-01,9349.988
2008-01-01,9504.843
2009-01-01,9620.846
2010-01-01,9712.696
2011-01-01,9810.595
2012-01-01,9911.171
2013-01-01,9981.773
2014-01-01,10083.850
2015-01-01,10199.533
2016-01-01,10313.620
2017-01-01,10429.379
