DATE,RIPOP
2007-01-01,1057.315
2008-01-01,1055.003
2009-01-01,1053.646
2010-01-01,1053.169
2011-01-01,1052.154
2012-01-01,1052.761
2013-01-01,1052.784
2014-01-01,1054.782
2015-01-01,1055.916
2016-01-01,1057.566
2017-01-01,1059.639
