DATE,ALPOP
2007-01-01,4672.840
2008-01-01,4718.206
2009-01-01,4757.938
2010-01-01,4785.579
2011-01-01,4798.649
2012-01-01,4813.946
2013-01-01,4827.660
2014-01-01,4840.037
2015-01-01,4850.858
2016-01-01,4860.545
2017-01-01,4874.747
