DATE,PAPOP
2007-01-01,12563.937
2008-01-01,12612.285
2009-01-01,12666.858
2010-01-01,12711.063
2011-01-01,12742.811
2012-01-01,12768.034
2013-01-01,12778.450
2014-01-01,12790.341
2015-01-01,12791.124
2016-01-01,12787.085
2017-01-01,12805.537
