DATE,UTPOP
2007-01-01,2597.746
2008-01-01,2663.029
2009-01-01,2723.421
2010-01-01,2775.260
2011-01-01,2815.430
2012-01-01,2854.222
2013-01-01,2899.961
2014-01-01,2938.671
2015-01-01,2984.917
2016-01-01,3044.321
2017-01-01,3101.833
