DATE,WIPOP
2007-01-01,5610.775
2008-01-01,5640.996
2009-01-01,5669.264
2010-01-01,5690.403
2011-01-01,5705.812
2012-01-01,5721.075
2013-01-01,5736.673
2014-01-01,5751.272
2015-01-01,5759.744
2016-01-01,5772.917
2017-01-01,5795.483
