DATE,TNPOP
2007-01-01,6175.727
2008-01-01,6247.411
2009-01-01,6306.019
2010-01-01,6355.882
2011-01-01,6396.281
2012-01-01,6450.632
2013-01-01,6490.795
2014-01-01,6540.007
2015-01-01,6590.726
2016-01-01,6649.404
2017-01-01,6715.984
