DATE,NMPOP
2007-01-01,1990.070
2008-01-01,2010.662
2009-01-01,2036.802
2010-01-01,2064.607
2011-01-01,2077.744
2012-01-01,2083.590
2013-01-01,2085.161
2014-01-01,2083.207
2015-01-01,2082.264
2016-01-01,2085.432
2017-01-01,2088.070
