DATE,NCPOP
2007-01-01,9118.037
2008-01-01,9309.449
2009-01-01,9449.566
2010-01-01,9574.247
2011-01-01,9662.940
2012-01-01,9755.299
2013-01-01,9849.812
2014-01-01,9941.160
2015-01-01,10041.769
2016-01-01,10156.689
2017-01-01,10273.419
