DATE,ARPOP
2007-01-01,2848.650
2008-01-01,2874.554
2009-01-01,2896.843
2010-01-01,2921.737
2011-01-01,2938.640
2012-01-01,2949.208
2013-01-01,2956.780
2014-01-01,2964.800
2015-01-01,2975.626
2016-01-01,2988.231
2017-01-01,3004.279
