DATE,WVPOP
2007-01-01,1834.052
2008-01-01,1840.310
2009-01-01,1847.775
2010-01-01,1854.315
2011-01-01,1854.891
2012-01-01,1855.360
2013-01-01,1852.333
2014-01-01,1847.624
2015-01-01,1839.767
2016-01-01,1828.637
2017-01-01,1815.857
