DATE,KYPOP
2007-01-01,4256.672
2008-01-01,4289.878
2009-01-01,4317.074
2010-01-01,4347.948
2011-01-01,4368.505
2012-01-01,4383.673
2013-01-01,4399.121
2014-01-01,4410.415
2015-01-01,4422.057
2016-01-01,4436.113
2017-01-01,4454.189
