DATE,KSPOP
2007-01-01,2783.785
2008-01-01,2808.076
2009-01-01,2832.704
2010-01-01,2858.403
2011-01-01,2868.756
2012-01-01,2885.316
2013-01-01,2892.900
2014-01-01,2899.553
2015-01-01,2905.789
2016-01-01,2907.731
2017-01-01,2913.123
