DATE,SCPOP
2007-01-01,4444.110
2008-01-01,4528.996
2009-01-01,4589.872
2010-01-01,4635.834
2011-01-01,4672.744
2012-01-01,4719.009
2013-01-01,4765.862
2014-01-01,4824.758
2015-01-01,4892.423
2016-01-01,4959.822
2017-01-01,5024.369
