DATE,NHPOP
2007-01-01,1312.540
2008-01-01,1315.906
2009-01-01,1316.102
2010-01-01,1316.700
2011-01-01,1318.345
2012-01-01,1320.923
2013-01-01,1322.622
2014-01-01,1328.684
2015-01-01,1330.134
2016-01-01,1335.015
2017-01-01,1342.795
