DATE,MDPOP
2007-01-01,5653.408
2008-01-01,5684.965
2009-01-01,5730.388
2010-01-01,5788.099
2011-01-01,5843.115
2012-01-01,5891.680
2013-01-01,5932.654
2014-01-01,5970.245
2015-01-01,6000.561
2016-01-01,6024.752
2017-01-01,6052.177
