DATE,LAPOP
2007-01-01,4375.581
2008-01-01,4435.586
2009-01-01,4491.648
2010-01-01,4544.871
2011-01-01,4574.388
2012-01-01,4602.681
2013-01-01,4626.795
2014-01-01,4648.797
2015-01-01,4671.211
2016-01-01,4686.157
2017-01-01,4684.333
