DATE,NVPOP
2007-01-01,2601.072
2008-01-01,2653.630
2009-01-01,2684.665
2010-01-01,2702.797
2011-01-01,2718.170
2012-01-01,2752.410
2013-01-01,2786.547
2014-01-01,2831.730
2015-01-01,2883.057
2016-01-01,2939.254
2017-01-01,2998.039
