DATE,WAPOP
2007-01-01,6461.587
2008-01-01,6562.231
2009-01-01,6667.426
2010-01-01,6741.386
2011-01-01,6819.155
2012-01-01,6890.899
2013-01-01,6963.410
2014-01-01,7046.931
2015-01-01,7152.818
2016-01-01,7280.934
2017-01-01,7405.743
