DATE,VTPOP
2007-01-01,623.481
2008-01-01,624.151
2009-01-01,624.817
2010-01-01,625.842
2011-01-01,626.210
2012-01-01,625.606
2013-01-01,626.044
2014-01-01,625.665
2015-01-01,624.455
2016-01-01,623.354
2017-01-01,623.657
