DATE,AZPOP
2007-01-01,6167.681
2008-01-01,6280.362
2009-01-01,6343.154
2010-01-01,6407.002
2011-01-01,6465.488
2012-01-01,6544.211
2013-01-01,6616.124
2014-01-01,6706.435
2015-01-01,6802.262
2016-01-01,6908.642
2017-01-01,7016.270
