DATE,INPOP
2007-01-01,6379.599
2008-01-01,6424.806
2009-01-01,6459.325
2010-01-01,6490.029
2011-01-01,6515.358
2012-01-01,6535.665
2013-01-01,6567.484
2014-01-01,6593.182
2015-01-01,6610.596
2016-01-01,6634.007
2017-01-01,6666.818
