DATE,CAPOP
2007-01-01,36250.311
2008-01-01,36604.337
2009-01-01,36961.229
2010-01-01,37327.690
2011-01-01,37672.654
2012-01-01,38019.006
2013-01-01,38347.383
2014-01-01,38701.278
2015-01-01,39032.444
2016-01-01,39296.476
2017-01-01,39536.653
