DATE,IAPOP
2007-01-01,2999.212
2008-01-01,3016.734
2009-01-01,3032.870
2010-01-01,3050.223
2011-01-01,3063.690
2012-01-01,3074.386
2013-01-01,3089.876
2014-01-01,3105.563
2015-01-01,3118.473
2016-01-01,3130.869
2017-01-01,3145.711
