DATE,HIPOP
2007-01-01,1315.675
2008-01-01,1332.213
2009-01-01,1346.717
2010-01-01,1363.817
2011-01-01,1378.323
2012-01-01,1392.772
2013-01-01,1408.038
2014-01-01,1417.710
2015-01-01,1426.320
2016-01-01,1428.683
2017-01-01,1427.538
