DATE,MTPOP
2007-01-01,964.706
2008-01-01,976.415
2009-01-01,983.982
2010-01-01,990.507
2011-01-01,996.866
2012-01-01,1003.522
2013-01-01,1011.921
2014-01-01,1019.931
2015-01-01,1028.317
2016-01-01,1038.656
2017-01-01,1050.493
