DATE,ILPOP
2007-01-01,12695.866
2008-01-01,12747.038
2009-01-01,12796.778
2010-01-01,12841.196
2011-01-01,12862.298
2012-01-01,12878.494
2013-01-01,12890.403
2014-01-01,12882.438
2015-01-01,12862.051
2016-01-01,12835.726
2017-01-01,12802.023
