DATE,VAPOP
2007-01-01,7751.000
2008-01-01,7833.496
2009-01-01,7925.937
2010-01-01,8025.206
2011-01-01,8107.548
2012-01-01,8188.656
2013-01-01,8261.689
2014-01-01,8316.902
2015-01-01,8366.767
2016-01-01,8414.380
2017-01-01,8470.020
