DATE,ORPOP
2007-01-01,3722.417
2008-01-01,3768.748
2009-01-01,3808.600
2010-01-01,3837.073
2011-01-01,3865.845
2012-01-01,3893.920
2013-01-01,3919.664
2014-01-01,3960.673
2015-01-01,4016.537
2016-01-01,4085.989
2017-01-01,4142.776
