DATE,IDPOP
2007-01-01,1505.105
2008-01-01,1534.320
2009-01-01,1554.439
2010-01-01,1570.912
2011-01-01,1583.180
2012-01-01,1594.673
2013-01-01,1610.187
2014-01-01,1630.391
2015-01-01,1649.324
2016-01-01,1680.026
2017-01-01,1716.943
