State,Year,Week,Cases,Percent
Vermont,2018,2,174,0.0210999
Virginia,2018,2,4560,0.5529619
Washington,2018,2,352,0.0426848
West Virginia,2018,2,624,0.0756685
Wisconsin,2018,2,237,0.0287395
Wyoming,2018,2,208,0.0252228
Alabama,2018,3,5145,0.623901
Alaska,2018,3,199,0.0241314
Arizona,2018,3,1030,0.1249015
Arkansas,2018,3,419,0.0508094
California,2018,3,1959,0.2375553
Colorado,2018,3,665,0.0806403
Connecticut,2018,3,239,0.028982
Delaware,2018,3,29,0.0035166
District of Columbia,2018,3,436,0.0528709
Florida,2018,3,0,0
Georgia,2018,3,6284,0.7620203
Hawaii,2018,3,77,0.0093373
Idaho,2018,3,45,0.0054569
Illinois,2018,3,2370,0.2873947
Indiana,2018,3,369,0.0447463
Iowa,2018,3,134,0.0162493
Kansas,2018,3,716,0.0868247
Kentucky,2018,3,1214,0.147214
Louisiana,2018,3,4834,0.5861881
Maine,2018,3,35,0.0042442
Maryland,2018,3,344,0.0417147
Massachusetts,2018,3,1066,0.129267
Michigan,2018,3,1347,0.163342
Minnesota,2018,3,373,0.0452313
Mississippi,2018,3,1679,0.2036015
Missouri,2018,3,446,0.0540836
Montana,2018,3,17,0.0020615
Nebraska,2018,3,424,0.0514158
Nevada,2018,3,428,0.0519008
New Hampshire,2018,3,81,0.0098224
New Jersey,2018,3,1597,0.1936579
New Mexico,2018,3,1165,0.1412721
New York,2018,3,799,0.0968896
North Carolina,2018,3,773,0.0937367
North Dakota,2018,3,44,0.0053356
Ohio,2018,3,698,0.084642
Oklahoma,2018,3,939,0.1138665
Oregon,2018,3,1902,0.2306433
Pennsylvania,2018,3,2225,0.2698114
Rhode Island,2018,3,197,0.0238889
South Carolina,2018,3,712,0.0863397
South Dakota,2018,3,474,0.0574789
Tennessee,2018,3,751,0.0910689
Texas,2018,3,3926,0.4760808
Utah,2018,3,300,0.0363791
Vermont,2018,3,233,0.0282544
Virginia,2018,3,5509,0.668041
Washington,2018,3,286,0.0346814
West Virginia,2018,3,644,0.0780937
Wisconsin,2018,3,232,0.0281331
Wyoming,2018,3,259,0.0314073
Alabama,2018,4,5136,0.6228097
Alaska,2018,4,233,0.0282544
Arizona,2018,4,896,0.1086522
Arkansas,2018,4,434,0.0526284
California,2018,4,1995,0.2419208
Colorado,2018,4,793,0.096162
Connecticut,2018,4,332,0.0402595
Delaware,2018,4,72,0.008731
District of Columbia,2018,4,658,0.0797914
Florida,2018,4,0,0
Georgia,2018,4,7656,0.9283939
Hawaii,2018,4,99,0.0120051
Idaho,2018,4,45,0.0054569
Illinois,2018,4,2564,0.3109198
Indiana,2018,4,448,0.0543261
Iowa,2018,4,187,0.0226763
Kansas,2018,4,852,0.1033166
Kentucky,2018,4,1180,0.143091
Louisiana,2018,4,4526,0.5488389
Maine,2018,4,62,0.0075183
Maryland,2018,4,429,0.0520221
Massachusetts,2018,4,1480,0.1794701
Michigan,2018,4,1515,0.1837143
Minnesota,2018,4,458,0.0555387
Mississippi,2018,4,2116,0.2565937
Missouri,2018,4,477,0.0578427
Montana,2018,4,15,0.001819
Nebraska,2018,4,633,0.0767598
Nevada,2018,4,523,0.0634208
New Hampshire,2018,4,108,0.0130965
New Jersey,2018,4,2480,0.3007336
New Mexico,2018,4,1250,0.1515795
New York,2018,4,1353,0.1640696
North Carolina,2018,4,1533,0.185897
North Dakota,2018,4,54,0.0065482
Ohio,2018,4,882,0.1069545
Oklahoma,2018,4,1119,0.1356939
Oregon,2018,4,1801,0.2183957
Pennsylvania,2018,4,3069,0.3721579
Rhode Island,2018,4,290,0.0351664
South Carolina,2018,4,875,0.1061056
South Dakota,2018,4,545,0.0660886
Tennessee,2018,4,630,0.076396
Texas,2018,4,5157,0.6253562
Utah,2018,4,234,0.0283757
Vermont,2018,4,380,0.0460802
Virginia,2018,4,8507,1.0315892
Washington,2018,4,345,0.0418359
West Virginia,2018,4,795,0.0964045
Wisconsin,2018,4,309,0.0374704
Wyoming,2018,4,284,0.0344389
Alabama,2018,5,5278,0.6400291
Alaska,2018,5,303,0.0367429
Arizona,2018,5,738,0.0894925
Arkansas,2018,5,636,0.0771236
California,2018,5,2038,0.2471351
Colorado,2018,5,977,0.1184745
Connecticut,2018,5,352,0.0426848
Delaware,2018,5,105,0.0127327
District of Columbia,2018,5,813,0.0985873
Florida,2018,5,0,0
Georgia,2018,5,8032,0.973989
Hawaii,2018,5,74,0.0089735
Idaho,2018,5,58,0.0070333
Illinois,2018,5,2723,0.3302007
Indiana,2018,5,423,0.0512945
Iowa,2018,5,190,0.0230401
Kansas,2018,5,924,0.1120475
Kentucky,2018,5,1186,0.1438186
Louisiana,2018,5,4523,0.5484751
Maine,2018,5,63,0.0076396
Maryland,2018,5,455,0.0551749
Massachusetts,2018,5,1992,0.241557
Michigan,2018,5,1620,0.196447
Minnesota,2018,5,499,0.0605105
Mississippi,2018,5,1939,0.2351301
Missouri,2018,5,833,0.1010126
Montana,2018,5,28,0.0033954
Nebraska,2018,5,709,0.0859759
Nevada,2018,5,551,0.0668162
New Hampshire,2018,5,161,0.0195234
New Jersey,2018,5,2981,0.3614867
New Mexico,2018,5,2219,0.2690839
New York,2018,5,1550,0.1879585
North Carolina,2018,5,1708,0.2071182
North Dakota,2018,5,54,0.0065482
Ohio,2018,5,1009,0.1223549
Oklahoma,2018,5,1021,0.1238101
Oregon,2018,5,1766,0.2141515
Pennsylvania,2018,5,3638,0.4411569
Rhode Island,2018,5,374,0.0453526
South Carolina,2018,5,1025,0.1242952
South Dakota,2018,5,649,0.0787001
Tennessee,2018,5,696,0.0843994
Texas,2018,5,4938,0.5987995
Utah,2018,5,271,0.0328624
Vermont,2018,5,332,0.0402595
Virginia,2018,5,10776,1.3067362
Washington,2018,5,247,0.0299521
West Virginia,2018,5,566,0.0686352
Wisconsin,2018,5,337,0.0408658
Wyoming,2018,5,317,0.0384406
Alabama,2018,6,5100,0.6184442
Alaska,2018,6,329,0.0398957
Arizona,2018,6,986,0.1195659
Arkansas,2018,6,553,0.0670588
California,2018,6,1814,0.2199721
Colorado,2018,6,863,0.1046505
Connecticut,2018,6,384,0.0465652
Delaware,2018,6,187,0.0226763
District of Columbia,2018,6,776,0.0941005
Florida,2018,6,0,0
Georgia,2018,6,8949,1.0851877
Hawaii,2018,6,67,0.0081247
Idaho,2018,6,42,0.0050931
Illinois,2018,6,2555,0.3098284
Indiana,2018,6,442,0.0535985
Iowa,2018,6,166,0.0201298
Kansas,2018,6,908,0.1101073
Kentucky,2018,6,1276,0.1547323
Louisiana,2018,6,4119,0.4994846
Maine,2018,6,72,0.008731
Maryland,2018,6,450,0.0545686
Massachusetts,2018,6,2069,0.2508943
Michigan,2018,6,1321,0.1601892
Minnesota,2018,6,474,0.0574789
Mississippi,2018,6,1811,0.2196083
Missouri,2018,6,642,0.0778512
Montana,2018,6,17,0.0020615
Nebraska,2018,6,854,0.1035591
Nevada,2018,6,536,0.0649973
New Hampshire,2018,6,225,0.0272843
New Jersey,2018,6,3301,0.400291
New Mexico,2018,6,1995,0.2419208
New York,2018,6,1678,0.2034803
North Carolina,2018,6,1973,0.239253
North Dakota,2018,6,65,0.0078821
Ohio,2018,6,1098,0.1331474
Oklahoma,2018,6,760,0.0921603
Oregon,2018,6,1406,0.1704966
Pennsylvania,2018,6,4171,0.5057903
Rhode Island,2018,6,507,0.0614806
South Carolina,2018,6,1031,0.1250227
South Dakota,2018,6,549,0.0665737
Tennessee,2018,6,586,0.0710604
Texas,2018,6,4398,0.5333172
Utah,2018,6,633,0.0767598
Vermont,2018,6,431,0.0522646
Virginia,2018,6,11452,1.3887104
Washington,2018,6,209,0.0253441
West Virginia,2018,6,795,0.0964045
Wisconsin,2018,6,306,0.0371067
Wyoming,2018,6,325,0.0394107
Alabama,2018,7,2921,0.3542109
Alaska,2018,7,385,0.0466865
Arizona,2018,7,933,0.1131389
Arkansas,2018,7,418,0.0506882
California,2018,7,1639,0.198751
Colorado,2018,7,740,0.089735
Connecticut,2018,7,340,0.0412296
Delaware,2018,7,143,0.0173407
District of Columbia,2018,7,790,0.0957982
Florida,2018,7,0,0
Georgia,2018,7,6528,0.7916086
Hawaii,2018,7,70,0.0084885
Idaho,2018,7,36,0.0043655
Illinois,2018,7,2416,0.2929728
Indiana,2018,7,356,0.0431698
Iowa,2018,7,89,0.0107925
Kansas,2018,7,891,0.1080458
Kentucky,2018,7,1081,0.1310859
Louisiana,2018,7,3458,0.4193294
Maine,2018,7,77,0.0093373
Maryland,2018,7,382,0.0463227
Massachusetts,2018,7,1986,0.2408294
Michigan,2018,7,947,0.1148366
Minnesota,2018,7,285,0.0345601
Mississippi,2018,7,1495,0.181289
Missouri,2018,7,644,0.0780937
Montana,2018,7,17,0.0020615
Nebraska,2018,7,752,0.0911902
Nevada,2018,7,464,0.0562663
New Hampshire,2018,7,215,0.0260717
New Jersey,2018,7,3391,0.4112048
New Mexico,2018,7,1423,0.1725581
New York,2018,7,1587,0.1924453
North Carolina,2018,7,1427,0.1730431
North Dakota,2018,7,43,0.0052143
Ohio,2018,7,816,0.0989511
Oklahoma,2018,7,569,0.068999
Oregon,2018,7,1213,0.1470927
Pennsylvania,2018,7,4301,0.5215546
Rhode Island,2018,7,459,0.05566
South Carolina,2018,7,725,0.0879161
South Dakota,2018,7,548,0.0664524
Tennessee,2018,7,529,0.0641484
Texas,2018,7,3535,0.4286667
Utah,2018,7,1379,0.1672225
Vermont,2018,7,410,0.0497181
Virginia,2018,7,11195,1.3575456
Washington,2018,7,177,0.0214637
West Virginia,2018,7,731,0.0886437
Wisconsin,2018,7,295,0.0357728
Wyoming,2018,7,302,0.0366216
Alabama,2018,8,2172,0.2633845
Alaska,2018,8,344,0.0417147
Arizona,2018,8,879,0.1065907
Arkansas,2018,8,332,0.0402595
California,2018,8,1348,0.1634633
Colorado,2018,8,672,0.0814891
Connecticut,2018,8,297,0.0360153
Delaware,2018,8,80,0.0097011
District of Columbia,2018,8,499,0.0605105
Florida,2018,8,0,0
Georgia,2018,8,3190,0.3868308
Hawaii,2018,8,43,0.0052143
Idaho,2018,8,36,0.0043655
Illinois,2018,8,1880,0.2279755
Indiana,2018,8,158,0.0191596
Iowa,2018,8,87,0.0105499
Kansas,2018,8,628,0.0761535
Kentucky,2018,8,732,0.0887649
Louisiana,2018,8,2203,0.2671436
Maine,2018,8,58,0.0070333
Maryland,2018,8,365,0.0442612
Massachusetts,2018,8,1532,0.1857758
Michigan,2018,8,834,0.1011338
Minnesota,2018,8,261,0.0316498
Mississippi,2018,8,1030,0.1249015
Missouri,2018,8,360,0.0436549
Montana,2018,8,19,0.002304
Nebraska,2018,8,633,0.0767598
Nevada,2018,8,371,0.0449888
New Hampshire,2018,8,114,0.013824
New Jersey,2018,8,2231,0.270539
New Mexico,2018,8,987,0.1196871
New York,2018,8,845,0.1024677
North Carolina,2018,8,821,0.0995574
North Dakota,2018,8,50,0.0060632
Ohio,2018,8,652,0.0790638
Oklahoma,2018,8,445,0.0539623
Oregon,2018,8,1101,0.1335112
Pennsylvania,2018,8,3061,0.3711878
Rhode Island,2018,8,261,0.0316498
South Carolina,2018,8,435,0.0527497
South Dakota,2018,8,426,0.0516583
Tennessee,2018,8,253,0.0306797
Texas,2018,8,2577,0.3124962
Utah,2018,8,1082,0.1312072
Vermont,2018,8,322,0.0390469
Virginia,2018,8,7516,0.911417
Washington,2018,8,175,0.0212211
West Virginia,2018,8,292,0.035409
Wisconsin,2018,8,271,0.0328624
Wyoming,2018,8,246,0.0298308
Alabama,2018,9,1209,0.1466077
Alaska,2018,9,363,0.0440187
Arizona,2018,9,784,0.0950706
Arkansas,2018,9,193,0.0234039
California,2018,9,1458,0.1768023
Colorado,2018,9,554,0.06718
Connecticut,2018,9,236,0.0286182
Delaware,2018,9,55,0.0066695
District of Columbia,2018,9,360,0.0436549
Florida,2018,9,0,0
Georgia,2018,9,1961,0.2377979
Hawaii,2018,9,52,0.0063057
Idaho,2018,9,25,0.0030316
Illinois,2018,9,1284,0.1557024
Indiana,2018,9,178,0.0215849
Iowa,2018,9,49,0.0059419
Kansas,2018,9,471,0.0571151
Kentucky,2018,9,477,0.0578427
Louisiana,2018,9,1700,0.2061481
Maine,2018,9,36,0.0043655
Maryland,2018,9,257,0.0311647
Massachusetts,2018,9,1040,0.1261141
Michigan,2018,9,516,0.062572
Minnesota,2018,9,200,0.0242527
Mississippi,2018,9,645,0.078215
Missouri,2018,9,238,0.0288607
Montana,2018,9,33,0.0040017
Nebraska,2018,9,484,0.0586916
Nevada,2018,9,194,0.0235251
New Hampshire,2018,9,110,0.013339
New Jersey,2018,9,1327,0.1609168
New Mexico,2018,9,849,0.1029528
New York,2018,9,559,0.0677863
North Carolina,2018,9,394,0.0477778
North Dakota,2018,9,36,0.0043655
Ohio,2018,9,367,0.0445037
Oklahoma,2018,9,292,0.035409
Oregon,2018,9,1005,0.1218699
Pennsylvania,2018,9,2092,0.2536834
Rhode Island,2018,9,143,0.0173407
South Carolina,2018,9,230,0.0278906
South Dakota,2018,9,437,0.0529922
Tennessee,2018,9,160,0.0194022
Texas,2018,9,1807,0.2191233
Utah,2018,9,730,0.0885224
Vermont,2018,9,304,0.0368641
Virginia,2018,9,4506,0.5464136
Washington,2018,9,123,0.0149154
West Virginia,2018,9,248,0.0300734
Wisconsin,2018,9,215,0.0260717
Wyoming,2018,9,194,0.0235251
Alabama,2018,10,1019,0.1235676
Alaska,2018,10,393,0.0476566
Arizona,2018,10,533,0.0646335
Arkansas,2018,10,132,0.0160068
California,2018,10,1258,0.1525496
Colorado,2018,10,455,0.0551749
Connecticut,2018,10,123,0.0149154
Delaware,2018,10,25,0.0030316
District of Columbia,2018,10,349,0.042321
Florida,2018,10,0,0
Georgia,2018,10,1783,0.2162129
Hawaii,2018,10,75,0.0090948
Idaho,2018,10,7,0.0008488
Illinois,2018,10,1079,0.1308434
Indiana,2018,10,132,0.0160068
Iowa,2018,10,61,0.0073971
Kansas,2018,10,373,0.0452313
Kentucky,2018,10,379,0.0459589
Louisiana,2018,10,1469,0.1781362
Maine,2018,10,20,0.0024253
Maryland,2018,10,181,0.0219487
Massachusetts,2018,10,764,0.0926454
Michigan,2018,10,370,0.0448675
Minnesota,2018,10,178,0.0215849
Mississippi,2018,10,576,0.0698478
Missouri,2018,10,101,0.0122476
Montana,2018,10,18,0.0021827
Nebraska,2018,10,515,0.0624507
Nevada,2018,10,194,0.0235251
New Hampshire,2018,10,26,0.0031529
New Jersey,2018,10,1082,0.1312072
New Mexico,2018,10,587,0.0711817
New York,2018,10,382,0.0463227
North Carolina,2018,10,313,0.0379555
North Dakota,2018,10,16,0.0019402
Ohio,2018,10,344,0.0417147
Oklahoma,2018,10,228,0.0276481
Oregon,2018,10,804,0.0974959
Pennsylvania,2018,10,1400,0.169769
Rhode Island,2018,10,115,0.0139453
South Carolina,2018,10,192,0.0232826
South Dakota,2018,10,334,0.040502
Tennessee,2018,10,83,0.0100649
Texas,2018,10,1274,0.1544898
Utah,2018,10,613,0.0743346
Vermont,2018,10,209,0.0253441
Virginia,2018,10,3498,0.42418
Washington,2018,10,90,0.0109137
West Virginia,2018,10,159,0.0192809
Wisconsin,2018,10,231,0.0280119
Wyoming,2018,10,194,0.0235251
Alabama,2018,11,914,0.1108349
Alaska,2018,11,22,0.0026678
Arizona,2018,11,264,0.0320136
Arkansas,2018,11,42,0.0050931
California,2018,11,1124,0.1363002
Colorado,2018,11,360,0.0436549
Connecticut,2018,11,70,0.0084885
Delaware,2018,11,21,0.0025465
District of Columbia,2018,11,375,0.0454738
Florida,2018,11,0,0
Georgia,2018,11,1655,0.2006912
Hawaii,2018,11,50,0.0060632
Idaho,2018,11,13,0.0015764
Illinois,2018,11,1002,0.1215061
Indiana,2018,11,71,0.0086097
Iowa,2018,11,55,0.0066695
Kansas,2018,11,199,0.0241314
Kentucky,2018,11,160,0.0194022
Louisiana,2018,11,1350,0.1637058
Maine,2018,11,39,0.0047293
Maryland,2018,11,143,0.0173407
Massachusetts,2018,11,658,0.0797914
Michigan,2018,11,221,0.0267992
Minnesota,2018,11,106,0.0128539
Mississippi,2018,11,463,0.056145
Missouri,2018,11,15,0.001819
Montana,2018,11,13,0.0015764
Nebraska,2018,11,395,0.0478991
Nevada,2018,11,197,0.0238889
New Hampshire,2018,11,11,0.0013339
New Jersey,2018,11,922,0.111805
New Mexico,2018,11,551,0.0668162
New York,2018,11,44,0.0053356
North Carolina,2018,11,321,0.0389256
North Dakota,2018,11,10,0.0012126
Ohio,2018,11,229,0.0277694
Oklahoma,2018,11,170,0.0206148
Oregon,2018,11,900,0.1091372
Pennsylvania,2018,11,1262,0.1530346
Rhode Island,2018,11,109,0.0132177
South Carolina,2018,11,160,0.0194022
South Dakota,2018,11,337,0.0408658
Tennessee,2018,11,68,0.0082459
Texas,2018,11,631,0.0765173
Utah,2018,11,445,0.0539623
Vermont,2018,11,160,0.0194022
Virginia,2018,11,3419,0.4146001
Washington,2018,11,113,0.0137028
West Virginia,2018,11,50,0.0060632
Wisconsin,2018,11,58,0.0070333
Wyoming,2018,11,131,0.0158855
